French,English
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
aide,help
demande,request
genre,kind
mois,month
fr̬re,brother
laisser,let
car,because
laisse,leash
eux,them
ville,city
parl̩,speak
arriv̩,come
devrait,should
longtemps,long time
heures,hours
vont,will
pendant,while
revoir,meet again
aucune,any
parle,speak
compris,understood
savais,knew
̩taient,were
attention,Warning
voici,here is
pourrais,could
affaire,case
donner,give
type,type
leurs,their
donn̩,given
train,train
corps,body
endroit,place
fa̤on,way
̩coute,listen
dont,whose
trouve,find
premier,first
main,hand
premi̬re,first
c̫t̩,side
pouvoir,power
vieux,old
sois,be
tiens,here
tellement,so much
enfant,child
point,point
suite,after
pardon,sorry
venez,come
vers,towards
minutes,minutes
demand̩,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
esp̬re,hope
attendez,Wait
parti,left
nouvelle,new
boulot,job
arr̻ter,Stop
dirait,would say
terre,Earth
compte,account
donne,given
loin,far
croire,believe
ch̩rie,sweetheart
plut̫t,rather
filles,girls
jouer,to play
bureau,office
